sample_id,map_type,class_index,class_name,rows,columns,synthetic_data
dram_00_0000,dram,0,random defect,128,128,True
dram_00_0001,dram,0,random defect,128,128,True
dram_00_0002,dram,0,random defect,128,128,True
dram_00_0003,dram,0,random defect,128,128,True
dram_00_0004,dram,0,random defect,128,128,True
dram_00_0005,dram,0,random defect,128,128,True
dram_00_0006,dram,0,random defect,128,128,True
dram_00_0007,dram,0,random defect,128,128,True
dram_00_0008,dram,0,random defect,128,128,True
dram_00_0009,dram,0,random defect,128,128,True
dram_00_0010,dram,0,random defect,128,128,True
dram_00_0011,dram,0,random defect,128,128,True
dram_00_0012,dram,0,random defect,128,128,True
dram_00_0013,dram,0,random defect,128,128,True
dram_00_0014,dram,0,random defect,128,128,True
dram_00_0015,dram,0,random defect,128,128,True
dram_00_0016,dram,0,random defect,128,128,True
dram_00_0017,dram,0,random defect,128,128,True
dram_00_0018,dram,0,random defect,128,128,True
dram_00_0019,dram,0,random defect,128,128,True
dram_00_0020,dram,0,random defect,128,128,True
dram_00_0021,dram,0,random defect,128,128,True
dram_00_0022,dram,0,random defect,128,128,True
dram_00_0023,dram,0,random defect,128,128,True
dram_00_0024,dram,0,random defect,128,128,True
dram_00_0025,dram,0,random defect,128,128,True
dram_00_0026,dram,0,random defect,128,128,True
dram_00_0027,dram,0,random defect,128,128,True
dram_00_0028,dram,0,random defect,128,128,True
dram_00_0029,dram,0,random defect,128,128,True
dram_00_0030,dram,0,random defect,128,128,True
dram_00_0031,dram,0,random defect,128,128,True
dram_00_0032,dram,0,random defect,128,128,True
dram_00_0033,dram,0,random defect,128,128,True
dram_00_0034,dram,0,random defect,128,128,True
dram_00_0035,dram,0,random defect,128,128,True
dram_00_0036,dram,0,random defect,128,128,True
dram_00_0037,dram,0,random defect,128,128,True
dram_00_0038,dram,0,random defect,128,128,True
dram_00_0039,dram,0,random defect,128,128,True
dram_00_0040,dram,0,random defect,128,128,True
dram_00_0041,dram,0,random defect,128,128,True
dram_00_0042,dram,0,random defect,128,128,True
