sample_id,map_type,class_index,class_name,height,width,synthetic_data,outside_wafer_value
wafer_00_0000,wafer,0,random defect,64,64,True,-1
wafer_00_0001,wafer,0,random defect,64,64,True,-1
wafer_00_0002,wafer,0,random defect,64,64,True,-1
wafer_00_0003,wafer,0,random defect,64,64,True,-1
wafer_00_0004,wafer,0,random defect,64,64,True,-1
wafer_00_0005,wafer,0,random defect,64,64,True,-1
wafer_00_0006,wafer,0,random defect,64,64,True,-1
wafer_00_0007,wafer,0,random defect,64,64,True,-1
wafer_00_0008,wafer,0,random defect,64,64,True,-1
wafer_00_0009,wafer,0,random defect,64,64,True,-1
wafer_00_0010,wafer,0,random defect,64,64,True,-1
wafer_00_0011,wafer,0,random defect,64,64,True,-1
wafer_00_0012,wafer,0,random defect,64,64,True,-1
wafer_00_0013,wafer,0,random defect,64,64,True,-1
wafer_00_0014,wafer,0,random defect,64,64,True,-1
wafer_00_0015,wafer,0,random defect,64,64,True,-1
wafer_00_0016,wafer,0,random defect,64,64,True,-1
wafer_00_0017,wafer,0,random defect,64,64,True,-1
wafer_00_0018,wafer,0,random defect,64,64,True,-1
wafer_00_0019,wafer,0,random defect,64,64,True,-1
wafer_00_0020,wafer,0,random defect,64,64,True,-1
wafer_00_0021,wafer,0,random defect,64,64,True,-1
wafer_00_0022,wafer,0,random defect,64,64,True,-1
wafer_00_0023,wafer,0,random defect,64,64,True,-1
wafer_00_0024,wafer,0,random defect,64,64,True,-1
wafer_00_0025,wafer,0,random defect,64,64,True,-1
wafer_00_0026,wafer,0,random defect,64,64,True,-1
wafer_00_0027,wafer,0,random defect,64,64,True,-1
wafer_00_0028,wafer,0,random defect,64,64,True,-1
wafer_00_0029,wafer,0,random defect,64,64,True,-1
wafer_00_0030,wafer,0,random defect,64,64,True,-1
wafer_00_0031,wafer,0,random defect,64,64,True,-1
wafer_00_0032,wafer,0,random defect,64,64,True,-1
wafer_00_0033,wafer,0,random defect,64,64,True,-1
wafer_00_0034,wafer,0,random defect,64,64,True,-1
wafer_00_0035,wafer,0,random defect,64,64,True,-1
wafer_00_0036,wafer,0,random defect,64,64,True,-1
wafer_00_0037,wafer,0,random defect,64,64,True,-1
wafer_00_0038,wafer,0,random defect,64,64,True,-1
wafer_00_0039,wafer,0,random defect,64,64,True,-1
wafer_00_0040,wafer,0,random defect,64,64,True,-1
wafer_00_0041,wafer,0,random defect,64,64,True,-1
wafer_00_0042,wafer,0,random defect,64,64,True,-1
wafer_00_0043,wafer,0,random defect,64,64,True,-1
wafer_00_0044,wafer,0,random defect,64,64,True,-1
wafer_00_0045,wafer,0,random defect,64,64,True,-1
wafer_00_0046,wafer,0,random defect,64,64,True,-1
wafer_00_0047,wafer,0,random defect,64,64,True,-1
wafer_00_0048,wafer,0,random defect,64,64,True,-1
wafer_00_0049,wafer,0,random defect,64,64,True,-1
wafer_00_0050,wafer,0,random defect,64,64,True,-1
wafer_00_0051,wafer,0,random defect,64,64,True,-1
wafer_00_0052,wafer,0,random defect,64,64,True,-1
wafer_00_0053,wafer,0,random defect,64,64,True,-1
wafer_00_0054,wafer,0,random defect,64,64,True,-1
wafer_00_0055,wafer,0,random defect,64,64,True,-1
wafer_00_0056,wafer,0,random defect,64,64,True,-1
wafer_00_0057,wafer,0,random defect,64,64,True,-1
wafer_00_0058,wafer,0,random defect,64,64,True,-1
wafer_00_0059,wafer,0,random defect,64,64,True,-1
wafer_00_0060,wafer,0,random defect,64,64,True,-1
wafer_00_0061,wafer,0,random defect,64,64,True,-1
wafer_00_0062,wafer,0,random defect,64,64,True,-1
wafer_00_0063,wafer,0,random defect,64,64,True,-1
wafer_00_0064,wafer,0,random defect,64,64,True,-1
wafer_00_0065,wafer,0,random defect,64,64,True,-1
wafer_00_0066,wafer,0,random defect,64,64,True,-1
wafer_00_0067,wafer,0,random defect,64,64,True,-1
wafer_00_0068,wafer,0,random defect,64,64,True,-1
wafer_00_0069,wafer,0,random defect,64,64,True,-1
wafer_00_0070,wafer,0,random defect,64,64,True,-1
wafer_00_0071,wafer,0,random defect,64,64,True,-1
wafer_00_0072,wafer,0,random defect,64,64,True,-1
wafer_00_0073,wafer,0,random defect,64,64,True,-1
wafer_00_0074,wafer,0,random defect,64,64,True,-1
wafer_00_0075,wafer,0,random defect,64,64,True,-1
wafer_00_0076,wafer,0,random defect,64,64,True,-1
wafer_00_0077,wafer,0,random defect,64,64,True,-1
wafer_00_0078,wafer,0,random defect,64,64,True,-1
wafer_00_0079,wafer,0,random defect,64,64,True,-1
wafer_00_0080,wafer,0,random defect,64,64,True,-1
wafer_00_0081,wafer,0,random defect,64,64,True,-1
wafer_00_0082,wafer,0,random defect,64,64,True,-1
wafer_00_0083,wafer,0,random defect,64,64,True,-1
wafer_00_0084,wafer,0,random defect,64,64,True,-1
wafer_00_0085,wafer,0,random defect,64,64,True,-1
wafer_00_0086,wafer,0,random defect,64,64,True,-1
wafer_00_0087,wafer,0,random defect,64,64,True,-1
wafer_00_0088,wafer,0,random defect,64,64,True,-1
wafer_00_0089,wafer,0,random defect,64,64,True,-1
wafer_00_0090,wafer,0,random defect,64,64,True,-1
wafer_00_0091,wafer,0,random defect,64,64,True,-1
wafer_00_0092,wafer,0,random defect,64,64,True,-1
wafer_00_0093,wafer,0,random defect,64,64,True,-1
wafer_00_0094,wafer,0,random defect,64,64,True,-1
wafer_00_0095,wafer,0,random defect,64,64,True,-1
wafer_00_0096,wafer,0,random defect,64,64,True,-1
wafer_00_0097,wafer,0,random defect,64,64,True,-1
wafer_00_0098,wafer,0,random defect,64,64,True,-1
wafer_00_0099,wafer,0,random defect,64,64,True,-1
wafer_01_0000,wafer,1,center defect,64,64,True,-1
wafer_01_0001,wafer,1,center defect,64,64,True,-1
wafer_01_0002,wafer,1,center defect,64,64,True,-1
wafer_01_0003,wafer,1,center defect,64,64,True,-1
wafer_01_0004,wafer,1,center defect,64,64,True,-1
wafer_01_0005,wafer,1,center defect,64,64,True,-1
wafer_01_0006,wafer,1,center defect,64,64,True,-1
wafer_01_0007,wafer,1,center defect,64,64,True,-1
wafer_01_0008,wafer,1,center defect,64,64,True,-1
wafer_01_0009,wafer,1,center defect,64,64,True,-1
wafer_01_0010,wafer,1,center defect,64,64,True,-1
wafer_01_0011,wafer,1,center defect,64,64,True,-1
wafer_01_0012,wafer,1,center defect,64,64,True,-1
wafer_01_0013,wafer,1,center defect,64,64,True,-1
wafer_01_0014,wafer,1,center defect,64,64,True,-1
wafer_01_0015,wafer,1,center defect,64,64,True,-1
wafer_01_0016,wafer,1,center defect,64,64,True,-1
wafer_01_0017,wafer,1,center defect,64,64,True,-1
wafer_01_0018,wafer,1,center defect,64,64,True,-1
wafer_01_0019,wafer,1,center defect,64,64,True,-1
wafer_01_0020,wafer,1,center defect,64,64,True,-1
wafer_01_0021,wafer,1,center defect,64,64,True,-1
wafer_01_0022,wafer,1,center defect,64,64,True,-1
